"NTopics","Binary","Alpha","Beta","Cutoff","City","MinUsers","MinVenues","m","sd","nmi","Rep"
80,"true",0.6,0.01,0.005,"new_york",2,5,28.49375,7.47826778028914,0.150724,1
20,"false",20,0.01,0.005,"new_york",2,5,19.375,7.59449024301711,0.115716,1
40,"false",20,0.01,0.005,"new_york",2,5,31.2875,9.05705368864441,0.133653,1
80,"false",20,0.01,0.005,"new_york",2,5,38.96875,8.3526231145121,0.117266,1
20,"true",20,0.01,0.005,"new_york",2,5,15.65,6.12498037673466,0.497633,1
40,"true",20,0.01,0.005,"new_york",2,5,25.9125,6.0696250379464,0.261835,1
80,"true",20,0.01,0.005,"new_york",2,5,38.10625,6.62907344806755,0.184984,1
20,"false",50,0.01,0.005,"new_york",2,5,21,8.58143494067429,0.188062,1
40,"false",50,0.01,0.005,"new_york",2,5,31.8125,9.44148367175682,0.158036,1
80,"false",50,0.01,0.005,"new_york",2,5,39.16875,8.55336329082927,0.100967,1
20,"true",50,0.01,0.005,"new_york",2,5,18.225,6.43104449785051,0.326592,1
40,"true",50,0.01,0.005,"new_york",2,5,28.025,6.10659531401205,0.258919,1
80,"true",50,0.01,0.005,"new_york",2,5,41.5875,7.90222283830085,0.137371,1
20,"false",100,0.01,0.005,"new_york",2,5,20.5,7.98395827541638,0.22446,1
40,"false",100,0.01,0.005,"new_york",2,5,31.45,9.65073618232099,0.0782845,1
80,"false",100,0.01,0.005,"new_york",2,5,39.5375,8.33035481361717,0.0764399,1
20,"true",100,0.01,0.005,"new_york",2,5,22.775,7.87559521560117,0.293147,1
40,"true",100,0.01,0.005,"new_york",2,5,34.2125,7.20178204036765,0.231458,1
80,"true",100,0.01,0.005,"new_york",2,5,44.65625,8.41535499462349,0.092388,1
20,"false",0.6,1,0.005,"new_york",2,5,19.55,7.5953764613575,0.133719,1
40,"false",0.6,1,0.005,"new_york",2,5,29.875,8.58225280978947,0.0451427,1
80,"false",0.6,1,0.005,"new_york",2,5,38.1375,7.80943430415695,0.0582051,1
20,"true",0.6,1,0.005,"new_york",2,5,9.40540540540541,5.65910995877669,0.427571,1
40,"true",0.6,1,0.005,"new_york",2,5,8.84848484848485,6.50737433577635,0.178807,1
80,"true",0.6,1,0.005,"new_york",2,5,7.38461538461539,6.41485988548677,0.170334,1
20,"false",20,1,0.005,"new_york",2,5,19.5,7.50726144202893,0.103454,1
40,"false",20,1,0.005,"new_york",2,5,30.7875,8.82988846926997,0.135817,1
80,"false",20,1,0.005,"new_york",2,5,38.4625,7.76128717522759,0.090106,1
20,"true",20,1,0.005,"new_york",2,5,14.85,6.13752643735494,0.367742,1
40,"true",20,1,0.005,"new_york",2,5,23.2,5.62633950295675,0.243184,1
80,"true",20,1,0.005,"new_york",2,5,28.95625,6.98096862591251,0.188112,1
20,"false",50,1,0.005,"new_york",2,5,20.3,8.16245312547895,0.194373,1
40,"false",50,1,0.005,"new_york",2,5,31.5,8.65659915098068,0.115799,1
80,"false",50,1,0.005,"new_york",2,5,39.18125,8.15099012004719,0.0777592,1
20,"true",50,1,0.005,"new_york",2,5,19.05,6.52784960862461,0.365438,1
40,"true",50,1,0.005,"new_york",2,5,29.4,6.25937271900652,0.344834,1
80,"true",50,1,0.005,"new_york",2,5,42.15625,7.06621590617669,0.136252,1
20,"false",100,1,0.005,"new_york",2,5,21.15,8.56513505214824,0.166614,1
40,"false",100,1,0.005,"new_york",2,5,31.5875,9.47707927821487,0.129749,1
80,"false",100,1,0.005,"new_york",2,5,39.5,8.16650622355552,0.0925724,1
20,"true",100,1,0.005,"new_york",2,5,21.8,6.3818653329732,0.27082,1
40,"true",100,1,0.005,"new_york",2,5,32.8875,7.37596807634707,0.14438,1
80,"true",100,1,0.005,"new_york",2,5,43.4125,7.74546935940517,0.106254,1
20,"false",0.6,0.01,0.01,"new_york",2,5,4.94444444444444,2.77688874662114,0.203793,1
40,"false",0.6,0.01,0.01,"new_york",2,5,9.98717948717949,4.21652158527076,0.12353,1
80,"false",0.6,0.01,0.01,"new_york",2,5,15.0125,5.42529308253909,0.131732,1
20,"true",0.6,0.01,0.01,"new_york",2,5,3.45454545454545,2.37290577524305,0.494905,1
